日期,送端,受端,平均气温/0.1℃,平均相对湿度/ 1% ,20-20时降水量/ 0.1mm,日照时数 /0.1小时%,"操作异常(""操作异常""+""卡涩""+""拒动""+""拒动/误动"")"
2011-11-01,133427.91199999998,127984.718,135,71,0,92,0
2011-11-02,136135.27599999998,129876.702,131,73,32700,72,0
2011-11-03,146135.962,140753.688,123,77,0,87,0
2011-11-04,148216.315,142729.717,128,78,32700,62,0
2011-11-05,130378.126,125178.466,140,78,7,63,0
2011-11-06,117725.187,113162.113,129,81,12,79,0
2011-11-07,134108.701,129606.133,118,95,149,0,0
2011-11-08,124136.145,119198.374,106,95,168,0,0
2011-11-09,101445.615,97613.878,102,77,1,57,0
2011-11-10,100960.687,97407.986,101,79,0,88,0
2011-11-11,102897.187,99250.596,115,79,0,77,0
2011-11-12,95233.82,91657.624,121,77,0,81,0
2011-11-13,92857.987,90381.802,127,73,0,97,0
2011-11-14,113357.215,109336.638,120,76,0,85,0
2011-11-15,113052.737,108838.975,121,78,0,64,0
2011-11-16,114041.601,109759.502,121,74,0,76,0
2011-11-17,113897.562,109162.978,120,68,0,96,0
2011-11-18,106147.326,101858.959,117,68,0,98,0
2011-11-19,105611.787,101589.782,117,74,0,99,0
2011-11-20,99607.751,95969.133,115,74,0,95,0
2011-11-21,105330.812,101403.035,116,78,0,78,0
2011-11-22,107446.501,103238.499,107,79,0,72,0
2011-11-23,107095.712,103057.153,110,76,0,88,0
2011-11-24,114291.362,109973.634,117,78,0,72,0
2011-11-25,113638.001,109250.572,121,78,0,82,0
2011-11-26,113124.373,108802.715,120,78,0,74,0
2011-11-27,104898.387,100822.673,109,76,0,93,0
2011-11-28,115510.812,111143.326,103,74,0,99,0
2011-11-29,112007.712,107298.928,128,63,32700,16,0
2011-11-30,117148.873,112647.866,124,74,0,39,0
2011-12-01,100986.798,96608.036,125,82,32,49,0
2011-12-02,97875.362,93556.787,96,84,18,36,0
2011-12-03,96080.137,91873.287,101,85,0,53,0
2011-12-04,93267.476,89072.101,119,84,12,30,0
2011-12-05,107780.812,103161.556,120,89,9,41,0
2011-12-06,105222.187,100525.466,126,82,32700,30,0
2011-12-07,104625.987,98666.488,142,82,0,64,0
2011-12-08,105934.776,100487.789,134,84,0,67,0
2011-12-09,108536.276,103705.046,118,87,1,2,0
2011-12-10,108784.651,103723.018,63,92,32700,0,0
2011-12-11,91004.101,85084.022,46,93,11,0,0
2011-12-12,112791.026,106536.443,76,89,32700,62,0
2011-12-13,115735.737,109664.863,88,87,0,21,0
2011-12-14,111137.276,106882.201,84,83,0,26,0
2011-12-15,105273.312,101643.26,99,78,0,61,0
2011-12-16,102745.99,99290.794,91,86,32700,15,0
2011-12-17,106966.626,103206.012,94,83,0,67,0
2011-12-18,91166.426,87572.936,98,82,0,79,0
2011-12-19,110780.512,106503.094,100,79,0,53,0
2011-12-20,125512.362,121286.43,99,72,0,94,0
2011-12-21,127353.173,123291.161,97,72,0,93,0
2011-12-22,121863.526,117801.734,96,76,0,87,0
2011-12-23,122368.323,118319.98,108,73,0,95,0
2011-12-24,114758.265,111230.186,58,84,32700,0,0
2011-12-25,91670.276,88771.493,76,87,0,0,0
2011-12-26,109215.976,105671.858,85,89,0,0,0
2011-12-27,108150.001,104637.206,102,78,0,54,0
2011-12-28,106168.915,102310.838,102,81,0,0,0
2011-12-29,103122.287,98974.337,120,65,0,93,0
2011-12-30,96413.698,91355.734,98,72,0,94,0
2011-12-31,87249.412,82368.868,102,69,0,93,0
2012-01-01,57468.209,53810.291,109,68,0,95,0
2012-01-02,79792.617,75915.859,135,68,0,73,0
2012-01-03,90471.773,85544.225,145,64,6,91,0
2012-01-04,98503.073,93430.453,99,75,12,22,0
2012-01-05,98206.395,93749.457,98,72,26,82,0
2012-01-06,95461.17,91201.016,88,69,0,81,0
2012-01-07,90771.07,87095.62599999999,96,64,0,88,0
2012-01-08,84355.47,80447.431,97,59,0,91,0
2012-01-09,80903.745,77664.545,103,65,0,91,1
2012-01-10,74940.22,71324.448,105,72,0,64,0
2012-01-11,70086.698,66575.452,102,77,0,62,0
2012-01-12,65323.198,61891.253,107,80,32700,50,1
2012-01-13,64005.834,60361.989,101,84,32700,19,2
2012-01-14,58636.92,53166.164,104,76,1,63,0
2012-01-15,50666.623,45659.328,99,49,0,97,0
2012-01-16,53133.06200000001,49521.668,82,52,0,96,4
2012-01-17,42519.37,38366.688,87,60,0,45,0
2012-01-18,35733.284,31875.034,116,42,0,84,0
2012-01-19,29636.909,26732.518,110,48,0,94,0
2012-01-20,24649.184,22703.66,103,54,0,93,0
2012-01-21,22534.906000000006,20455.857,115,47,0,76,0
2012-01-22,24416.301,22583.963,102,47,0,97,0
2012-01-23,18616.537,16921.261000000002,101,47,0,100,0
2012-01-24,19162.262,17047.857,113,34,0,102,0
2012-01-25,19421.615,17822.077,92,50,0,101,0
2012-01-26,20306.534,18570.832,112,49,0,103,0
2012-01-27,23892.723,21696.845,129,41,0,103,0
2012-01-28,28679.948,26754.898,124,40,0,103,0
2012-01-29,32380.173,30620.755,110,47,0,102,0
2012-01-30,39676.337,38018.526,111,47,0,103,0
2012-01-31,57751.097,55604.228,112,52,0,95,0
2012-02-01,55842.65900000001,53672.207,118,47,0,103,0
2012-02-02,88571.545,85701.91900000001,110,48,0,102,0
2012-02-03,96412.101,93983.744,105,53,0,105,0
2012-02-04,92216.523,88911.962,136,36,0,102,0
2012-02-05,73535.448,70855.87700000001,147,36,0,103,0
2012-02-06,78900.473,76223.407,150,30,0,103,0
2012-02-07,81880.50099999999,78515.491,135,40,0,102,0
2012-02-08,87470.234,83070.024,147,40,0,104,1
2012-02-09,94983.031,90501.991,151,34,0,102,0
2012-02-10,112738.148,107409.62,157,39,0,100,0
2012-02-11,112288.909,107420.726,138,47,0,98,0
2012-02-12,114356.02,109579.899,139,43,0,100,0
2012-02-13,112496.184,106861.269,130,49,0,105,0
2012-02-14,111247.623,106152.242,139,42,0,103,2
2012-02-15,116280.356,111215.601,153,37,0,102,0
2012-02-16,117638.363,112825.279,151,40,0,103,0
2012-02-17,114390.888,109646.558,155,41,0,102,0
2012-02-18,106319.49,101518.657,162,39,0,104,0
2012-02-19,100171.769,95967.636,132,49,0,98,0
2012-02-20,109694.341,104877.858,130,53,0,102,0
2012-02-21,105418.8,100981.409,142,49,0,82,0
2012-02-22,108332.912,103877.788,149,47,0,100,0
2012-02-23,111082.457,106751.395,150,48,0,100,0
2012-02-24,115040.424,110120.923,161,42,0,103,0
2012-02-25,106311.232,102040.189,162,35,0,105,0
2012-02-26,98047.747,94648.578,161,29,0,105,0
2012-02-27,115728.876,110591.02,159,32,0,96,0
2012-02-28,108026.45,103419.246,135,40,0,104,0
2012-02-29,102239.944,91855.628,154,31,0,87,0
2012-03-01,107981.951,102080.517,112,73,73,22,0
