日期,送端,受端,平均气温/0.1℃,平均相对湿度/ 1% ,20-20时降水量/ 0.1mm,日照时数 /0.1小时%
20111101,133427.912,127984.718,135,71,0,92
20111102,136135.276,129876.702,131,73,32700,72
20111103,146135.962,140753.688,123,77,0,87
20111104,148216.315,142729.717,128,78,32700,62
20111105,130378.126,125178.466,140,78,7,63
20111106,117725.187,113162.113,129,81,12,79
20111107,134108.701,129606.133,118,95,149,0
20111108,124136.145,119198.374,106,95,168,0
20111109,101445.615,97613.878,102,77,1,57
20111110,100960.687,97407.986,101,79,0,88
20111111,102897.187,99250.596,115,79,0,77
20111112,95233.82,91657.624,121,77,0,81
20111113,92857.987,90381.802,127,73,0,97
20111114,113357.215,109336.638,120,76,0,85
20111115,113052.737,108838.975,121,78,0,64
20111116,114041.601,109759.502,121,74,0,76
20111117,113897.562,109162.978,120,68,0,96
20111118,106147.326,101858.959,117,68,0,98
20111119,105611.787,101589.782,117,74,0,99
20111120,99607.751,95969.133,115,74,0,95
20111121,105330.812,101403.035,116,78,0,78
20111122,107446.501,103238.499,107,79,0,72
20111123,107095.712,103057.153,110,76,0,88
20111124,114291.362,109973.634,117,78,0,72
20111125,113638.001,109250.572,121,78,0,82
20111126,113124.373,108802.715,120,78,0,74
20111127,104898.387,100822.673,109,76,0,93
20111128,115510.812,111143.326,103,74,0,99
20111129,112007.712,107298.928,128,63,32700,16
20111130,117148.873,112647.866,124,74,0,39
20111201,100986.798,96608.036,125,82,32,49
20111202,97875.362,93556.787,96,84,18,36
20111203,96080.137,91873.287,101,85,0,53
20111204,93267.476,89072.101,119,84,12,30
20111205,107780.812,103161.556,120,89,9,41
20111206,105222.187,100525.466,126,82,32700,30
20111207,104625.987,98666.488,142,82,0,64
20111208,105934.776,100487.789,134,84,0,67
20111209,108536.276,103705.046,118,87,1,2
20111210,108784.651,103723.018,63,92,32700,0
20111211,91004.101,85084.022,46,93,11,0
20111212,112791.026,106536.443,76,89,32700,62
20111213,115735.737,109664.863,88,87,0,21
20111214,111137.276,106882.201,84,83,0,26
20111215,105273.312,101643.26,99,78,0,61
20111216,102745.99,99290.794,91,86,32700,15
20111217,106966.626,103206.012,94,83,0,67
20111218,91166.426,87572.936,98,82,0,79
20111219,110780.512,106503.094,100,79,0,53
20111220,125512.362,121286.43,99,72,0,94
20111221,127353.173,123291.161,97,72,0,93
20111222,121863.526,117801.734,96,76,0,87
20111223,122368.323,118319.98,108,73,0,95
20111224,114758.265,111230.186,58,84,32700,0
20111225,91670.276,88771.493,76,87,0,0
20111226,109215.976,105671.858,85,89,0,0
20111227,108150.001,104637.206,102,78,0,54
20111228,106168.915,102310.838,102,81,0,0
20111229,103122.287,98974.337,120,65,0,93
20111230,96413.698,91355.734,98,72,0,94
20111231,87249.412,82368.868,102,69,0,93
20120101,57468.209,53810.291,109,68,0,95
20120102,79792.617,75915.859,135,68,0,73
20120103,90471.773,85544.225,145,64,6,91
20120104,98503.073,93430.453,99,75,12,22
20120105,98206.395,93749.457,98,72,26,82
20120106,95461.17,91201.016,88,69,0,81
20120107,90771.07,87095.626,96,64,0,88
20120108,84355.47,80447.431,97,59,0,91
20120109,80903.745,77664.545,103,65,0,91
20120110,74940.22,71324.448,105,72,0,64
20120111,70086.698,66575.452,102,77,0,62
20120112,65323.198,61891.253,107,80,32700,50
20120113,64005.834,60361.989,101,84,32700,19
20120114,58636.92,53166.164,104,76,1,63
20120115,50666.623,45659.328,99,49,0,97
20120116,53133.062,49521.668,82,52,0,96
20120117,42519.37,38366.688,87,60,0,45
20120118,35733.284,31875.034,116,42,0,84
20120119,29636.909,26732.518,110,48,0,94
20120120,24649.184,22703.66,103,54,0,93
20120121,22534.906,20455.857,115,47,0,76
20120122,24416.301,22583.963,102,47,0,97
20120123,18616.537,16921.261,101,47,0,100
20120124,19162.262,17047.857,113,34,0,102
20120125,19421.615,17822.077,92,50,0,101
20120126,20306.534,18570.832,112,49,0,103
20120127,23892.723,21696.845,129,41,0,103
20120128,28679.948,26754.898,124,40,0,103
20120129,32380.173,30620.755,110,47,0,102
20120130,39676.337,38018.526,111,47,0,103
20120131,57751.097,55604.228,112,52,0,95
20120201,55842.659,53672.207,118,47,0,103
20120202,88571.545,85701.919,110,48,0,102
20120203,96412.101,93983.744,105,53,0,105
20120204,92216.523,88911.962,136,36,0,102
20120205,73535.448,70855.877,147,36,0,103
20120206,78900.473,76223.407,150,30,0,103
20120207,81880.501,78515.491,135,40,0,102
20120208,87470.234,83070.024,147,40,0,104
20120209,94983.031,90501.991,151,34,0,102
20120210,112738.148,107409.62,157,39,0,100
20120211,112288.909,107420.726,138,47,0,98
20120212,114356.02,109579.899,139,43,0,100
20120213,112496.184,106861.269,130,49,0,105
20120214,111247.623,106152.242,139,42,0,103
